ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
1513,Test Case,5.3.4 Test : Verify that the tools used for programming a Standalone Controller are NOT compatible with programming controllers that are already a part of an Ovation System.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,The Standalone Controller & Tools will utilize the same type of Human-Machine Interfaces used in a traditional Ovation system.  This includes:,,,,
,,,4,"	Ovation Operator Graphics",,,,
,,,5,"	Ovation Developer’s Studio",,,,
,,,6,"	Ovation Alarm System",,,,
,,,7,"	Ovation Control Builder",,,,
,,,8,"	Ovation Graphics Builder",,,,
,,,9,"	Ovation Signal Diagram Viewer",,,,
,,,10,"	Ovation Trend",,,,
,,,11,"	Point Information",,,,
,,,12,"	Point Review",,,,
,,,13,"	Ovation Machine Works",,,,
,,,14,"	Sensor Calibrate",,,,
,,,15,"	Controller Diagnostics",,,,
1514,Test Case,5.4.1.2.1 Test : Verify that,,,,,,
,,,1,,,,,
,,,2,,,,,
1515,Test Case,5.4.1.6.1 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
1516,Test Case,5.4.1.7.6 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
1517,Test Case,5.4.1.8.1 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
1518,Test Case,5.4.1.9.1 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
1519,Test Case,5.4.1.10.1 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
1520,Test Case,5.4.1.11.1 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
1521,Test Case,5.4.1.12.1 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
1522,Test Case,5.4.1.13.1 Test : Ovation Session Manager,,,,,,
,,,1,,,,,
,,,2,,,,,
1523,Test Case,5.4.1.14.1 Test : Error log,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"The Standalone Controller & Tools will contain software interfaces needed to communicate with other devices/systems.  These will be the protocols that are supported for Third-Party communications, either natively via the Third-Party I/O drivers, or via the Embedded Ethernet Links provided by the CPS (Communication Protocols Suite).",,,,
,,,4,"This does NOT include communications with SIS (Safety Instrumented Systems), Foundation Fieldbus, DeviceNet, or Ovation Multi-Network.",,,,
,,,5,Time-synchronization will be provided by the user by specifying a NTP server.  The controller requires a NTP server in order to timestamp the alarm and error messages,,,,
1524,Test Case,5.4.2.1 Test : Determine if Time-synchronization works properly by specifying an NTP server.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,The Standalone Controller & Tools will contain the same hardware interfaces used in an Ovation Controller on a traditional Ovation system.  This includes all types of I/O modules except Foundation Fieldbus and DeviceNet.,,,,
1525,Test Case,5.4.3.1 Test : Verify that Standalone Controller & Tools supports,,,,,,
,,,1,,,,,
1526,Test Case,5.4.3.2 Test :  (),,,,,,
,,,1,,,,,
,,,2,,,,,
1527,Test Case,5.4.3.3 Test :,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"	A standalone controller application should have equivalent performance as compared to a non-standalone controller",,,,
,,,4,"o	Controller control task execution time",,,,
,,,5,"o	Controller CPU loading",,,,
,,,6,"o	Time for clear/load (Note, there will be slightly longer time expected for a load due to the extra HMI fields that are required to be on the controller).",,,,
,,,7,"	Engineering tools should be able to save/restore a configuration within 5 minutes or less.",,,,
1528,Test Case,5.5.1 Test : Determine if Standalone Controller has same Controller control task execution time as of a non-standalone controller,,,,,,
,,,1,,,,,
,,,2,,,,,
1529,Test Case,5.5.2 Test : Determine if Standalone Controller has same Controller CPU loading as of a non-standalone controller,,,,,,
,,,1,,,,,
,,,2,,,,,
1530,Test Case,5.5.3 Test : Determine if Standalone Controller has same Time for clear/load as of a non-standalone controller. (Note:- there will be slightly longer time expected for a load due to the extra HMI fields that are required to be on the controller),,,,,,
,,,1,,,,,
1531,Test Case,5.5.4 Test : Determine if Engineering tools should be able to save a configuration within 5 minutes or less,,,,,,
,,,1,,,,,
,,,2,,,,,
1532,Test Case,5.5.5 Test : Determine if Engineering tools should be able to restore a configuration within 5 minutes or less,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,The Controller portion of the Standalone Controller & Tools will apply to the following types of Controller Hardware:,,,,
,,,4,"	OCC100",,,,
,,,5,"	OCR3000",,,,
,,,6,"	OMC100 (not yet released)",,,,
,,,7,"	Next Generation Virtual Controller (not yet released)",,,,
,,,8,"Operating System will be the same as non-Standalone Controllers, VxWorks 7.",,,,
,,,9,"The Tools portion of the Standalone Controller & Tools is targeted for Windows 10 operating system.  No specific hardware platform is required, however recommended specs will be captured and recorded in the user documentation if needed.",,,,
,,,10,Internet browser is required for the initial setup. (Microsoft Edge is the supported browser).,,,,
,,,11,Fixes for Standalone Tools software and controller software will be done with patches.,,,,
1533,Test Case,5.6.1 Test : Verify Ovation Standlone Controller & tools software with OCC100 using different Ovation tools,,,,,,
,,,1,,,,,
,,,2,"I.	Ovation Operator Graphics",,,,
,,,3,"II.	Ovation Developer’s Studio",,,,
,,,4,"III.	Ovation Alarm System",,,,
,,,5,"IV.	Ovation Control Builder",,,,
,,,6,"V.	Ovation Graphics Builder",,,,
,,,7,"VI.	Ovation Signal Diagram Viewer",,,,
,,,8,"VII.	Ovation Trend",,,,
,,,9,"VIII.	Point Information",,,,
,,,10,"IX.	Point Review",,,,
,,,11,"X.	Ovation Machine Works",,,,
,,,12,"XI.	Sensor Calibrate",,,,
,,,13,"XII.	Controller Diagnostics",,,,
,,,14,,,,,
1534,Test Case,5.6.2 Test : Verify support of Microsoft Edge Internet browser for the initial setup,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"This SRF satisfies security requirements of IEC 62443 4-2 SL1, each requirement is described in section 15.",,,,
1535,Test Case,5.7.1 Test : Verification of security requirements of IEC 62443 4-2 SL1,,,,,,
,,,1,,,,,
,,,2,User manual(s) shall be developed to assist the user in the operation of the Standalone Controller & Tools.,,,,
,,,3,A final list of documentation requirements will be developed with the Technical Writing group during implementation.,,,,
1536,Test Case,5.8.1 Test : To be discussed with documentation team,,,,,,
,,,1,,,,,
,,,2,"The controller source code (common) will be updated to run in a standalone fashion depending on a new configuration file parameter set by Developer’s Studio.  The controller code that will accept this type of change will be for the OCC100, OCR3000, OMC100. [Source Req 1.1]",,,,
,,,3,"To not have explicit networking requirements for a controller pair, the standalone controllers will not communicate DDBs (Dynamic Data Blocks) to each other over the network.  All communications will occur over the backplane.  If the controllers communicated over a network, it is possible that DDBs would interfere with each other. [Source Req 1.11]",,,,
,,,4,No changes in the controller code will be required to handle the maximum number of points. This is currently done via a configuration parameter set by Developer’s Studio.,,,,
,,,5,[Source Req. 1.2],,,,
,,,6,"The controller code will handle storing a predefined list of files/folders from the standalone tools.  These files will include things like the database, licensing files, control sheets, graphics, etc.  It will be everything needed to engineer and operate the standalone controller, (except for the software applications themselves). [Source Req 1.3]",,,,
,,,7,"When the controller is running in a redundant configuration, it will send the configuration files to the backup controller so that the files are available for runtime use (operator graphics, signal diagrams, etc.) if the primary controller becomes offline.  [Source Req 1.4]",,,,
,,,8,All algorithms will be supported with the exception [Source Req 1.5]:,,,,
,,,9,"	SIS algorithms",,,,
,,,10,"	Fieldbus algorithms",,,,
,,,11,"	Persisval algorithm (this requires a database server)",,,,
,,,12,"Algorithm templates/symbols will need to be stored on the controller so that when an algorithm is patched, the corresponding template files will always be “in-sync” with the patched version of the algorithm.  The tool (database and control builder) will need to use the version of the templates/symbols that were from the controller. [Source Req 1.5]",,,,
,,,13,Controller bumpless transfer will perform the same as in a traditional Ovation system.,,,,
,,,14,The controller can support secure communications via a Virtual Private Network (VPN).  The controller will implement a VPN natively in controller and will require a router to terminate the other end of the VPN in the remote location (i.e. Control Room). [Source Req 1.10],,,,
,,,15,"The Standalone Tools will support booting a controller from a blank flash (i.e. from the factory) for the initial configuration, or during a re-format of the flash drive during a field troubleshooting process.",,,,
,,,16,"The controller will support the standard SSH connection for advanced\field troubleshooting.  In a standard Ovation system, the SSH authentication is done via RADIUS, however for the Standalone Controller, the authentication will be done via the local user account information stored on the controller.  Only users with the Administrator role will be permitted access.  If no account information is available (no user yet created) SSH access to the controller will be denied.",,,,
1537,Test Case,5.9.1.1 Test : Verify if able to define & configure supported Controller types using Developer Studio in a Standalone environment.,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1538,Test Case,5.9.1.2 Test : Verify maximum number of points for Controller in Standalone environment,,,,,,
,,,1,Determine if maximum number of points (This is currently done via a configuration parameter set by Developer’s Studio) limt works in same way as in traditional Controller,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1539,Test Case,5.9.1.3 Test : Verify Controller redundancy from “availability of configurtion files for runtime use” perspective,,,,,,
,,,1,"Determine if When the controller is running in a redundant configuration, it will send the configuration files to the backup controller so that the files are available for runtime use (operator graphics, signal diagrams, etc) if the primary controller becomes offline",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
1540,Test Case,5.9.1.4 Test : Verify support of standard Algorithms in  environment,,,,,,
,,,1,Note:-Determine if All algorithms will be supported with the exception SIS algorithms/Fieldbus algorithms/Persisval algorithm (this requires a database server),,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1541,Test Case,5.9.1.6 Test : Verify if all required Algorithm templates/symbols stored on the controller,,,,,,
,,,1,"Determine if Algorithm templates/symbols will need to be stored on the controller (Algorithm templates/symbols will need to be stored on the controller so that when an algorithm is patched, the corresponding template files will always be “in-sync” with the patched version of the algorithm.  The tool (database and control builder) will need to use the version of the templates/symbols that were from the controller)",,,,
,,,2,,,,,
1542,Test Case,5.9.1.7 Test : Verify Controller redundancy for bumpless transfer of Control,,,,,,
,,,1,Determine if Controller bumpless transfer will perform the same as in a traditional Ovation system,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
1543,Test Case,5.9.1.8 Test : Verify Controller support for secure communications via a Virtual Private Network (VPN) in a standlone environment,,,,,,
,,,1,Determine if controller can support secure communications via a Virtual Private Network (VPN).  (The controller will implement a VPN natively in controller and will require a router to terminate the other end of the VPN in the remote location (i.e. Control Room)),,,,
,,,2,,,,,
,,,3,,,,,
1544,Test Case,5.9.1.9 Test : Verify if Controller is able to bootup from a blank flash (i.e. from the factory) for the initial configuration in a standlone environment,,,,,,
,,,1,"Determine if Standalone Tools will support booting a controller from a blank flash (i.e. from the factory) for the initial configuration, or during a re-format of the flash drive during a field troubleshooting process",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1545,Test Case,5.9.1.10 Test : Verify if Controller is able to bootup from a re-formatted flash (i.e. from the factory) for the initial configuration in a standlone environment,,,,,,
,,,1,"Determine if Standalone Tools will support booting a controller from a blank flash (i.e. from the factory) for the initial configuration, or during a re-format of the flash drive during a field troubleshooting process",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1546,Test Case,5.9.1.11 Test : Verify that the Controller supports SSH in a standalone environment,,,,,,
,,,1,"Determine if The controller will support the standard SSH connection for advanced\field troubleshooting (In a standard Ovation system, the SSH authentication is done via RADIUS, however for the Standalone Controller, the authentication will be done via the local user account information stored on the controller.  Only users with the Administrator role will be permitted access.  If no account information is available (no user yet created) SSH access to the controller will be denied)",,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,"The tools for Standalone Controllers will be installed as part of the Ovation Standalone Software, will not require a server class computer or operating system, and will not require the computer to be part of a domain. [Source Req 2.1] [Source Req 2.2]",,,,
,,,6,The tools for Standalone Controllers will require an Ovation license – tied to the computer on which the software is installed.  This will be similar to the Ovation licenses utilized on the Database Server of a standard Ovation system.  [Source Req 2.5],,,,
,,,7,The computer on which the tools for Standalone Controllers is installed will not be considered an Ovation drop – and installation of the software will not be permitted on an Ovation drop.  [Source Req 2.4],,,,
,,,8,"The tools for Standalone Controller will include a new application which will serve as the primary user interface where various engineering functions are performed, and where Ovation Engineering and HMI applications are initiated or launched.  Ovation user applications (Engineering or HMI) will be launched from this new application.  The new application will feature the following functionality:",,,,
,,,9,"	Permit the user to connect to (and disconnect from) a Standalone Controller.  A username and password will be required to connect to a Standalone Controller.  The tools for Standalone Controller will only permit the connection to one Standalone Controller at a time.  [Source Req. 3.2]",,,,
,,,10,"	Launch Ovation engineering tools applications such as Ovation Developer Studio and Ovation Engineering Audit Viewer. [Source Req. 2.13]",,,,
,,,11,"	Launch Ovation HMI applications such as the Standalone Controller Alarm Window, Trend, Graphics, Point Information, Point Review, the Ovation Error Log, Signal Diagram Viewer, and Ovation Machine Works. [Source Req. 3.4]",,,,
,,,12,"	Launch Ovation Utility applications such as Controller Diagnostics and Sensor Calibrate. [Source Req. 3.4]",,,,
,,,13,"	Permit the user to create a new Standalone Controller database.",,,,
,,,14,"	Permit the user to archive an existing Standalone Controller database to disk.  [Source Req. 2.9]",,,,
,,,15,"	Permit the user to restore a previously archived Standalone Controller database from disk.",,,,
1547,Test Case,"5.9.2.i Test : Verify that Ovation Standalone Software get installed (along with all the tools) on a non server grade, non Ovation machine and machine is also not a member of any domain",,,,,,
,,,1,,,,,
1548,Test Case,5.9.2.ii Test : Verify that tools for Standalone Controllers will require an Ovation license – tied to the computer on which the software is installed.  This will be similar to the Ovation licenses utilized on the Database Server of a standard Ovation system,,,,,,
,,,1,,,,,
1549,Test Case,5.9.2.iii Test : Verify that the computer on which the tools for Standalone Controllers is installed will not be considered an Ovation drop,,,,,,
,,,1,,,,,
1550,Test Case,5.9.2.iv Test : Verify that installation of the software will not be permitted on an Ovation drop,,,,,,
,,,1,,,,,
,,,2,,,,,
1551,Test Case,"5.9.2.v Test : Verify that for connecting to Controller, username and password is required",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1552,Test Case,5.9.2.vi Test : Verify that tools for Standalone tools will only permit the connection to one Standalone Controller at a time,,,,,,
,,,1,,,,,
,,,2,,,,,
1553,Test Case,5.9.2.vii Test : Verify if  application Launch Ovation engineering tools applications such as Ovation Developer Studio,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1554,Test Case,5.9.2.viii Test : Verify if  application Launch Ovation engineering tools applications such as Ovation Engineering Audit Viewer,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
1555,Test Case,"5.9.2.ix Test : Verify if  application Launch Ovation HMI applications such as the Standalone Controller Alarm Window, Trend, Graphics, Point Information, Point Review, the Ovation Error Log, Signal Diagram Viewer, and Ovation Machine Works",,,,,,
,,,1,,,,,
1556,Test Case,5.9.2.x Test : Verify if  application Launch Ovation Utility applications such as Controller Diagnostics and Sensor Calibrate,,,,,,
,,,1,,,,,
1557,Test Case,5.9.2.xi Test : Verify if  application Permit the user to create a new Standalone Controller database,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1558,Test Case,5.9.2.xii Test : Verify if  application Permit the user to archive an existing Standalone Controller database to disk,,,,,,
,,,1,,,,,
,,,2,,,,,
1559,Test Case,5.9.2.xiii Test : Verify if  application Permit the user to restore a previously archived Standalone Controller database from disk,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"The installation of the tools for Standalone Controller will include the installation of Microsoft SQL Server Express, which will be used to configure a Standalone Controller.  The database will run on the computer where the Ovation Standalone Software has been installed but stored (maintained) on the Standalone Controller.  [Source Req. 2.6]",,,,
1560,Test Case,5.9.2.1.1 Test : Verify that Database will run on the computer where the Ovation Standalone Software has been installed but stored (maintained) on the Standalone Controller,,,,,,
,,,1,,,,,
,,,2,"User accounts will be maintained in (and authenticated by) the Standalone Controller.  As it relates specifically to the Standalone Controller, there will be 3 different “User Types” to which a user may be assigned:",,,,
,,,3,"	Operator:  The user will not be able to perform any engineering functions.  All Engineering Tools applications will consider the database to be in a read-only mode.  (Reference Section 14.2.5.3 for more information about read-only mode in Ovation Developer Studio.)",,,,
,,,4,"	Engineer:  The user will be able to perform engineering functions and make modifications to the database.",,,,
,,,5,"	Administrator:  The user will be able to perform engineering functions and make modifications to the database, user accounts, and Ovation security configurations.",,,,
,,,6,These user accounts will be used for the purpose of connecting and gaining access to a Standalone Controller’s runtime and engineering/configuration data.  They will not be associated in any way with the computer’s Windows user.  [Source Req. 2.7],,,,
,,,7,"The Ovation Security Manager (launched from Ovation Developer Studio) will be responsible for creating and maintaining users in the Standalone Controller and defining allow/deny access to Ovation functionality for those users.  Although the Ovation Security Manager will provide the user interface to create/modify/delete user accounts and update/reset existing user passwords, the underlying functionality for these operations will be performed by the Standalone Controller itself.  [Source Req. 1.12] [Source Req. 2.10]",,,,
1561,Test Case,5.9.2.2.1 Test : Verify user accounts in Standalone environment,,,,,,
,,,1,Note: Refer Ovation Security manager SVTP for the detailed steps for this test.,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
,,,7,,,,,
,,,8,,,,,
,,,9,,,,,
,,,10,,,,,
1562,Test Case,5.9.2.2.2 Test : Verify that operator user will not be able to perform any engineering functions.,,,,,,
,,,1,,,,,
,,,2,,,,,
1563,Test Case,5.9.2.2.3 Test : Verify that Engineer user will be able to perform engineering functions and make modifications to the database,,,,,,
,,,1,,,,,
,,,2,,,,,
1564,Test Case,"5.9.2.2.4 Test : Verify that Administrator user will be able to perform engineering functions and make modifications to the database, user accounts, and Ovation security configurations",,,,,,
,,,1,,,,,
,,,2,,,,,
1565,Test Case,5.9.2.2.5 Test :  that Administrator user will not be associated in any way with the computer’s Windows user,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,"To connect to a Standalone Controller, the user will need to provide a valid username and password – authenticated by the Standalone Controller.  The tools for Standalone Controller software will support the following example use cases when connecting to a Standalone Controller:",,,,
,,,4,,,,,
,,,5,"If the user is defined with the role of Operator, they will still be able to run Ovation Developer Studio (subject to the user’s Ovation security configuration), but the application will execute in read-only mode.  (Reference Section 14.2.5.3 for more information about read-only mode in Ovation Developer Studio.)",,,,
,,,6,,,,,
,,,7,"	Initial configuration of a Standalone Controller (e.g., no database currently exists in the Standalone Controller).",,,,
,,,8,"	Off-line configuration of a new database (e.g., new control scheme/functionality) – completely replacing the database on (and the application currently running in) the Standalone Controller.",,,,
,,,9,"	Off-line modification of a Standalone Controller.  For example, the user Disconnects from the Standalone Controller but keeps the database locally on the computer to make “off-line” engineering modifications to the database.  (Reference Section 14.2.4 for more information about Disconnect.)",,,,
,,,10,Note that this use case will not be applicable for users defined with the role of Operator.,,,,
,,,11,"Checks will be performed to verify that the database running locally on the computer is compatible with the database currently stored in the Standalone Controller.  If an incompatibility is detected, the user will be notified and given the following options:",,,,
,,,12,"	Abort the Connection attempt.",,,,
,,,13,"	Utilize the database on the Standalone Controller – in which case the database currently on the computer will be deleted and the database will be uploaded from the Standalone Controller.",,,,
,,,14,"	Utilize the database currently on the computer.  Note that since the database has been detected to be incompatible with the database stored on (and application running in) the Standalone Controller, the Standalone Controller will need to be cleared.",,,,
,,,15,"Once Connected to the Standalone Controller, the Ovation HMI and utility applications can be executed, regardless of the user’s defined role.  [Source Req. 3.1]",,,,
,,,16,"Unless the user is defined with the role of Operator, the Standalone Controller will implicitly mark its database as locked (or “signed out”). [Source Req. 2.11] However, only one user will have the ability to Connect and lock a Standalone Controller’s database at any one time.  If a non-Operator user attempts to Connect to a Standalone Controller whose database is already locked, they will be notified and given the following options:",,,,
,,,17,"	Abort the Connection attempt.",,,,
,,,18,"	Continue with the Connection, but without locking the database and operating in read-only mode.",,,,
,,,19,"	Override the database lock.",,,,
,,,20,"In the case of a redundant Standalone Controller, Connection for engineering purpose will require the availability of (and explicit connection to) the primary half of the redundant Standalone Controller.  If the primary half is not available, the user will still be able to perform a Connect for the purposes of operator functionality (including access to the database in a read-only mode).  (Reference Section 14.2.5.3 for more information about read-only mode in Ovation Developer Studio.)",,,,
,,,21,"Note, if the primary controller is lost, and a database backup is not available offline, the user can still recover the database from the backup controller and use that as a starting point to recover the primary controller.  Best practice should be for the user to always archive the database in another location following any engineering changes to the application.",,,,
1566,Test Case,"5.9.2.3.1 Test : Verify that to connect to a Standalone Controller, valid username and password is required",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1567,Test Case,5.9.2.3.2 Test : Verify database upload to database (and supporting files) to the computer,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1568,Test Case,5.9.2.3.3 Test : Verify if Operator user can run Ovation Developer Studio in read-only mode only,,,,,,
,,,1,,,,,
,,,2,,,,,
1569,Test Case,"5.9.2.3.4 Test : Verify if user will be able to perform Initial configuration of a Standalone Controller (e.g., no database currently exists in the Standalone Controller)",,,,,,
,,,1,,,,,
,,,2,,,,,
1570,Test Case,5.9.2.3.5 Test : Verify downloading new database (performed offline) to already running Controller with some database,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1571,Test Case,5.9.2.3.6 Test : Verify downloading modified database (performed offline) to already running Controller with some database,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1572,Test Case,5.9.2.3.7 Test : Verify if Checks will be performed to verify that the database running locally on the computer is compatible with the database currently stored in the Standalone Controller,,,,,,
,,,1,,,,,
,,,2,,,,,
1573,Test Case,Test : Verify options available on detection of incompatibilityof Database between Standalone station and Standalone Controller,,,,,,
,,,1,9.2.3.8,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,#NAME?,,,,
,,,5,-Utilize the database on the Standalone Controller – in which case the database currently on the computer will be deleted and the database will be uploaded from the Standalone Controller.,,,,
,,,6,#NAME?,,,,
,,,7,,,,,
,,,8,,,,,
,,,9,,,,,
1574,Test Case,"5.9.2.3.11 Test : Verify if Once Connected to the Standalone Controller, the Ovation HMI and utility applications can be executed, regardless of the user’s defined role",,,,,,
,,,1,,,,,
,,,2,,,,,
1575,Test Case,"5.9.2.3.12 Test : Verify if Unless the user is defined with the role of Operator, the Standalone Controller will implicitly mark its database as locked(or “signed out”).",,,,,,
,,,1,,,,,
,,,2,,,,,
1576,Test Case,5.9.2.3.13 Test : Verify if only one user will have the ability to Connect and lock a Standalone Controller’s database at any one time,,,,,,
,,,1,,,,,
,,,2,,,,,
1577,Test Case,5.9.2.3.14 Test : Verify non-Operator user attempts to Connect to a Standalone Controller whose database is already locked,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,Abort the Connection attempt,,,,
,,,5,"Continue with the Connection, but without locking the database and operating in read-only mode.",,,,
,,,6,Override the database lock,,,,
,,,7,,,,,
,,,8,,,,,
,,,9,,,,,
1578,Test Case,5.9.2.3.15 Test : Verify Connection for engineering purpose will require the availability of the primary half of the redundant Standalone Controller,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
1579,Test Case,"5.9.2.3.16 Test : Verify if the primary half is not available, the user will still be able to perform a Connect for the purposes of operator functionality including access to the database in a read-only mode",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
1580,Test Case,"5.9.2.3.17 Test : Verify if the primary controller is lost, and a database backup is not available offline, the user can still recover the database from the backup controller and use that as a starting point to recover the primary controller.",,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
,,,5,,,,,
,,,6,,,,,
,,,7,"The Disconnect operation will close the connection with the Standalone Controller.  All HMI applications will be terminated, and the user will be logged out of the Standalone Controller.  In addition, if the Standalone Controller database is not locked (e.g., Operator user), the database on the workstation will be deleted/removed.  If the Standalone Controller database is locked, the tools for software will support several options when disconnecting [Source Req. 2.12]:",,,,
,,,8,"	Disconnect (Normal):  The Standalone Controller database (and supporting files) will be downloaded to the Standalone Controller, the Standalone Controller will indicate that its database is no longer locked, and the database on the workstation will be deleted/removed.  This will be the typical use case.",,,,
,,,9,"	Disconnect (Engineer):  The Standalone Controller database (and supporting files) will be downloaded to the Standalone Controller and the Standalone Controller will indicate that its database is still locked by the user, and the database on the workstation will not be deleted/removed.",,,,
,,,10,This use case is appropriate if additional engineering functions are intended to be performed in an offline (or disconnected) state.,,,,
1581,Test Case,5.9.2.4.1 Test : Verification of disconnect operation,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
,,,4,,,,,
1582,Test Case,5.9.2.4.2 Test : Verification of disconnect operation when Standalone Controller database is not locked,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
1583,Test Case,5.9.2.4.3 Test : Verification of disconnect operation when Standalone Controller database is locked,,,,,,
,,,1,,,,,
,,,2,,,,,
,,,3,,,,,
